,label,set
4259,Fish,train
2729,Fish,train
3713,Fish,train
2493,Fish,train
2080,Fish,train
4017,Fish,train
5260,Fish,train
6765,Fish,train
10579,Fish,train
8231,Fish,train
10155,Fish,train
4663,Fish,train
8048,Fish,train
2398,Fish,train
4644,Fish,train
8429,Fish,train
11276,Fish,train
4553,Fish,train
5122,Fish,train
6038,Fish,train
2264,Fish,train
9421,Fish,train
11666,Fish,train
6945,Fish,train
5637,Fish,train
2387,Fish,train
3171,Fish,train
8638,Fish,train
11148,Fish,train
5934,Fish,train
7671,Fish,train
7058,Fish,train
781,Fish,train
6881,Fish,train
7615,Fish,train
2549,Fish,train
1266,Fish,train
1249,Fish,train
1497,Fish,train
465,Fish,train
981,Fish,train
3183,Fish,train
490,Fish,train
5291,Fish,train
11165,Fish,train
10291,Fish,train
4001,Fish,train
8763,Fish,train
9173,Fish,train
10390,Fish,train
9196,Fish,train
6927,Fish,train
11358,Fish,train
7164,Fish,train
9219,Fish,train
10280,Fish,train
7561,Fish,train
5575,Fish,train
10429,Fish,train
3599,Fish,train
8220,Fish,train
11301,Fish,train
4040,Fish,train
1211,Fish,train
5898,Fish,train
2111,Fish,train
8195,Fish,train
9041,Fish,train
901,Fish,train
6623,Fish,train
2394,Fish,train
4168,Fish,train
9960,Fish,train
5149,Fish,train
4881,Fish,train
3162,Fish,train
7782,Fish,train
10520,Fish,train
2938,Fish,train
11005,Fish,train
8421,Fish,train
1911,Fish,train
9245,Fish,train
5358,Fish,train
11244,Fish,train
9988,Fish,train
10446,Fish,train
553,Fish,train
1380,Fish,train
5210,Fish,train
619,Fish,train
10170,Fish,train
5026,Fish,train
9847,Fish,train
6807,Fish,train
7386,Fish,train
6079,Fish,train
10914,Fish,train
6698,Fish,train
8182,Fish,train
7171,Fish,train
2633,Fish,train
4730,Fish,train
5429,Fish,train
762,Fish,train
9587,Fish,train
10954,Fish,train
6429,Fish,train
5289,Fish,train
10298,Fish,train
5822,Fish,train
10308,Fish,train
2422,Fish,train
9722,Fish,train
7385,Fish,train
122,Fish,train
875,Fish,train
9940,Fish,train
1001,Fish,train
10052,Fish,train
6002,Fish,train
10864,Fish,train
4724,Fish,train
1645,Fish,train
8201,Fish,train
7093,Fish,train
10461,Fish,train
3290,Fish,train
5984,Fish,train
5271,Fish,train
2595,Fish,train
11022,Fish,train
10112,Fish,train
10806,Fish,train
6689,Fish,train
2603,Fish,train
6641,Fish,train
9885,Fish,train
6886,Fish,train
4897,Fish,train
3085,Fish,train
10690,Fish,train
6041,Fish,train
1254,Fish,train
2136,Fish,train
9850,Fish,train
4983,Fish,train
9814,Fish,train
5153,Fish,train
8346,Fish,train
4231,Fish,train
3517,Fish,train
10430,Fish,train
9310,Fish,train
10329,Fish,train
3646,Fish,train
6447,Fish,train
5002,Fish,train
2904,Fish,train
7540,Fish,train
1311,Fish,train
582,Fish,train
5810,Fish,train
9013,Fish,train
7769,Fish,train
3305,Fish,train
6378,Fish,train
5536,Fish,train
5127,Fish,train
7344,Fish,train
1919,Fish,train
2413,Fish,train
3406,Fish,train
1014,Fish,train
4642,Fish,train
3314,Fish,train
6768,Fish,train
356,Fish,train
3371,Fish,train
10949,Fish,train
10663,Fish,train
838,Fish,train
11678,Fish,train
4369,Fish,train
10836,Fish,train
3866,Fish,train
11735,Fish,train
3567,Fish,train
11096,Fish,train
11178,Fish,train
2270,Fish,train
7794,Fish,train
2900,Fish,train
3436,Fish,train
4651,Fish,train
3218,Fish,train
9523,Fish,train
6960,Fish,train
5179,Fish,train
2555,Fish,train
4084,Fish,train
7047,Fish,train
1702,Fish,train
5498,Fish,train
6164,Fish,train
5240,Fish,train
6240,Fish,train
6035,Fish,train
4344,Fish,train
1091,Fish,train
7813,Fish,train
549,Fish,train
4843,Fish,train
1225,Fish,train
7287,Fish,train
7458,Fish,train
8717,Fish,train
6673,Fish,train
3785,Fish,train
11829,Fish,train
235,Fish,train
8259,Fish,train
9933,Fish,train
6322,Fish,train
2859,Fish,train
4529,Fish,train
310,Fish,train
1853,Fish,train
1590,Fish,train
11538,Fish,train
6677,Fish,train
8286,Fish,train
3449,Fish,train
2617,Fish,train
11672,Fish,train
9092,Fish,train
7610,Fish,train
3681,Fish,train
5198,Fish,train
7390,Fish,train
5749,Fish,train
6613,Fish,train
227,Fish,train
5967,Fish,train
10252,Fish,train
920,Fish,train
9874,Fish,train
6217,Fish,train
9540,Fish,train
10819,Fish,train
7363,Fish,train
1833,Fish,train
10925,Fish,train
7496,Fish,train
4550,Fish,train
1053,Fish,train
7135,Fish,train
4331,Fish,train
4101,Fish,train
8721,Fish,train
7518,Fish,train
7834,Fish,train
2806,Fish,train
11626,Fish,train
11815,Fish,train
3033,Fish,train
6405,Fish,train
3365,Fish,train
8177,Fish,train
2542,Fish,train
8601,Fish,train
7368,Fish,train
2927,Fish,train
7776,Fish,train
7154,Fish,train
10335,Fish,train
9292,Fish,train
9473,Fish,train
8903,Fish,train
9966,Fish,train
7440,Fish,train
965,Fish,train
1123,Fish,train
8540,Fish,train
8049,Fish,train
9320,Fish,train
955,Fish,train
4155,Fish,train
2680,Fish,train
6714,Fish,train
2127,Fish,train
9180,Fish,train
4890,Fish,train
11083,Fish,train
10014,Fish,train
7311,Fish,train
10425,Fish,train
5830,Fish,train
3287,Fish,train
11491,Fish,train
8969,Fish,train
2704,Fish,train
3835,Fish,train
10194,Fish,train
857,Fish,train
7604,Fish,train
10921,Fish,train
10665,Fish,train
10274,Fish,train
4076,Fish,train
5386,Fish,train
8192,Fish,train
7934,Fish,train
3974,Fish,train
8145,Fish,train
9453,Fish,train
5221,Fish,train
4464,Fish,train
9678,Fish,train
6721,Fish,train
7665,Fish,train
6169,Fish,train
6308,Fish,train
1948,Fish,train
5195,Fish,train
863,Fish,train
6245,Fish,train
2299,Fish,train
7836,Fish,train
8814,Fish,train
9154,Fish,train
2095,Fish,train
6879,Fish,train
4937,Fish,train
4034,Fish,train
7391,Fish,train
8133,Fish,train
4209,Fish,train
5304,Fish,train
1953,Fish,train
10517,Fish,train
8307,Fish,train
2507,Fish,train
576,Fish,train
6906,Fish,train
1458,Fish,train
11782,Fish,train
7397,Fish,train
386,Fish,train
5466,Fish,train
7635,Fish,train
6026,Fish,train
9788,Fish,train
11446,Fish,train
10277,Fish,train
6703,Fish,train
3180,Fish,train
5030,Fish,train
1415,Fish,train
10630,Fish,train
4789,Fish,train
8042,Fish,train
11650,Fish,train
7244,Fish,train
2347,Fish,train
8198,Fish,train
9353,Fish,train
1599,Fish,train
8081,Fish,train
11034,Fish,train
4545,Fish,train
9556,Fish,train
6114,Fish,train
6577,Fish,train
8456,Fish,train
9480,Fish,train
10240,Fish,train
8386,Fish,train
9105,Fish,train
5299,Fish,train
3186,Fish,train
1820,Fish,train
3420,Fish,train
9979,Fish,train
2037,Fish,train
6621,Fish,train
10919,Fish,train
8110,Fish,train
11505,Fish,train
9594,Fish,train
4057,Fish,train
397,Fish,train
2224,Fish,train
1197,Fish,train
2237,Fish,train
6650,Fish,train
6863,Fish,train
3363,Fish,train
11298,Fish,train
8226,Fish,train
9344,Fish,train
8881,Fish,train
10882,Fish,train
6629,Fish,train
5342,Fish,train
7223,Fish,train
11304,Fish,train
8293,Fish,train
9073,Fish,train
6611,Fish,train
2027,Fish,train
4850,Fish,train
3848,Fish,train
8818,Fish,train
1473,Fish,train
7404,Fish,train
7395,Fish,train
4939,Fish,train
7863,Fish,train
2545,Fish,train
597,Fish,train
5269,Fish,train
2377,Fish,train
2820,Fish,train
1924,Fish,train
402,Fish,train
6139,Fish,train
5097,Fish,train
9435,Fish,train
610,Fish,train
11565,Fish,train
9508,Fish,train
3616,Fish,train
6086,Fish,train
11132,Fish,train
2371,Fish,train
5624,Fish,train
9365,Fish,train
3141,Fish,train
3969,Fish,train
1501,Fish,train
8365,Fish,train
6678,Fish,train
2645,Fish,train
4924,Fish,train
10964,Fish,train
2476,Fish,train
10860,Fish,train
806,Fish,train
9285,Fish,train
1057,Fish,train
11053,Fish,train
1611,Fish,train
3725,Fish,train
3255,Fish,train
2814,Fish,train
7269,Fish,train
3059,Fish,train
5093,Fish,train
86,Fish,train
3926,Fish,train
3841,Fish,train
11014,Fish,train
2205,Fish,train
8569,Fish,train
6707,Fish,train
3135,Fish,train
9718,Fish,train
11468,Fish,train
11825,Fish,train
10072,Fish,train
10103,Fish,train
9696,Fish,train
4286,Fish,train
6957,Fish,train
2090,Fish,train
1031,Fish,train
9951,Fish,train
6319,Fish,train
3507,Fish,train
3082,Fish,train
5650,Fish,train
2774,Fish,train
7559,Fish,train
10540,Fish,train
4249,Fish,train
2658,Fish,train
4511,Fish,train
5539,Fish,train
7738,Fish,train
8535,Fish,train
9331,Fish,train
11701,Fish,train
11775,Fish,train
7601,Fish,train
1914,Fish,train
11688,Fish,train
7964,Fish,train
7920,Fish,train
911,Fish,train
9136,Fish,train
116,Fish,train
1130,Fish,train
612,Fish,train
4961,Fish,train
10946,Fish,train
4679,Fish,train
5677,Fish,train
8943,Fish,train
766,Fish,train
3347,Fish,train
4403,Fish,train
6020,Fish,train
753,Fish,train
4050,Fish,train
2888,Fish,train
5703,Fish,train
7494,Fish,train
1922,Fish,train
4474,Fish,train
1925,Fish,train
4283,Fish,train
9719,Fish,train
5370,Fish,train
574,Fish,train
3928,Fish,train
6408,Fish,train
4392,Fish,train
7702,Fish,train
9499,Fish,train
6050,Fish,train
6909,Fish,train
5163,Fish,train
6409,Fish,train
6439,Fish,train
885,Fish,train
2742,Fish,train
829,Fish,train
1916,Fish,train
3920,Fish,train
3552,Fish,train
7296,Fish,train
9147,Fish,train
9161,Fish,train
10846,Fish,train
3325,Fish,train
11575,Fish,train
7816,Fish,train
3520,Fish,train
9612,Fish,train
3960,Fish,train
7926,Fish,train
7894,Fish,train
1204,Fish,train
9929,Fish,train
59,Fish,train
5396,Fish,train
6067,Fish,train
6071,Fish,train
5842,Fish,train
10982,Fish,train
7348,Fish,train
11007,Fish,train
9209,Fish,train
10991,Fish,train
5399,Fish,train
4059,Fish,train
11408,Fish,train
11691,Fish,train
3021,Fish,train
4436,Fish,train
2655,Fish,train
6213,Fish,train
4932,Fish,train
10748,Fish,train
2990,Fish,train
1814,Fish,train
2564,Fish,train
4004,Fish,train
5330,Fish,train
6986,Fish,train
2534,Fish,train
4029,Fish,train
2416,Fish,train
10450,Fish,train
4488,Fish,train
318,Fish,train
846,Fish,train
6670,Fish,train
4952,Fish,train
8321,Fish,train
11048,Fish,train
2056,Fish,train
7884,Fish,train
2,Fish,train
1426,Fish,train
8189,Fish,train
7407,Fish,train
2752,Fish,train
1622,Fish,train
7453,Fish,train
4981,Fish,train
9745,Fish,train
7044,Fish,train
1312,Fish,train
9743,Fish,train
3228,Fish,train
973,Fish,train
4063,Fish,train
3980,Fish,train
2761,Fish,train
9823,Fish,train
11525,Fish,train
9228,Fish,train
378,Fish,train
10173,Fish,train
10987,Fish,train
446,Fish,train
45,Fish,train
1529,Fish,train
7066,Fish,train
11369,Fish,train
878,Fish,train
6933,Fish,train
7042,Fish,train
5850,Fish,train
9112,Fish,train
10237,Fish,train
5611,Fish,train
9133,Fish,train
7038,Fish,train
8560,Fish,train
7238,Fish,train
3852,Fish,train
9379,Fish,train
7993,Fish,train
3653,Fish,train
8785,Fish,train
1927,Fish,train
5815,Fish,train
11694,Fish,train
10475,Fish,train
4363,Fish,train
994,Fish,train
9770,Fish,train
7870,Fish,train
2924,Fish,train
531,Fish,train
7251,Fish,train
4328,Fish,train
10389,Fish,train
4151,Fish,train
9648,Fish,train
11586,Fish,train
3736,Fish,train
4147,Fish,train
6801,Fish,train
6547,Fish,train
803,Fish,train
1749,Fish,train
11410,Fish,train
1780,Fish,train
5037,Fish,train
10,Fish,train
8116,Fish,train
7478,Fish,train
9362,Fish,train
5494,Fish,train
7299,Fish,train
11249,Fish,train
10980,Fish,train
9771,Fish,train
3906,Fish,train
9686,Fish,train
8485,Fish,train
6738,Fish,train
1403,Fish,train
7076,Fish,train
4236,Fish,train
10379,Fish,train
8852,Fish,train
10531,Fish,train
6234,Fish,train
5119,Fish,train
1185,Fish,train
5731,Fish,train
3701,Fish,train
5549,Fish,train
7290,Fish,train
4417,Fish,train
6711,Fish,train
3381,Fish,train
1476,Fish,train
5314,Fish,train
8279,Fish,train
10727,Fish,train
10119,Fish,train
8769,Fish,train
7717,Fish,train
10003,Fish,train
2625,Fish,train
2719,Fish,train
8290,Fish,train
2210,Fish,train
632,Fish,train
7535,Fish,train
8684,Fish,train
5470,Fish,train
6375,Fish,train
719,Fish,train
1676,Fish,train
8207,Fish,train
5045,Fish,train
1257,Fish,train
3578,Fish,train
6193,Fish,train
3007,Fish,train
7055,Fish,train
177,Fish,train
2492,Fish,train
2087,Fish,train
9936,Fish,train
5256,Fish,train
4622,Fish,train
4901,Fish,train
2302,Fish,train
4199,Fish,train
9117,Fish,train
7565,Fish,train
5591,Fish,train
8917,Fish,train
93,Fish,train
409,Fish,train
463,Fish,train
2707,Fish,train
1930,Fish,train
6299,Fish,train
9690,Fish,train
1584,Fish,train
4319,Fish,train
10381,Fish,train
6691,Fish,train
10703,Fish,train
8924,Fish,train
1803,Fish,train
4835,Fish,train
2893,Fish,train
33,Fish,train
6058,Fish,train
10018,Fish,train
8627,Fish,train
1581,Fish,train
11685,Fish,train
2979,Fish,train
1720,Fish,train
8634,Fish,train
9060,Fish,train
11437,Fish,train
5977,Fish,train
1009,Fish,train
7581,Fish,train
696,Fish,train
8288,Fish,train
4950,Fish,train
142,Fish,train
7888,Fish,train
9530,Fish,train
3751,Fish,train
2520,Fish,train
6251,Fish,train
8415,Fish,train
8087,Fish,train
1657,Fish,train
11291,Fish,train
3430,Fish,train
8381,Fish,train
7429,Fish,train
4916,Fish,train
192,Fish,train
7149,Fish,train
2884,Fish,train
6348,Fish,train
6608,Fish,train
6680,Fish,train
8300,Fish,train
1275,Fish,train
10652,Fish,train
3909,Fish,train
7457,Fish,train
8250,Fish,train
4280,Fish,train
2725,Fish,train
9766,Fish,train
936,Fish,train
7520,Fish,train
7193,Fish,train
4886,Fish,train
8739,Fish,train
9842,Fish,train
5706,Fish,train
6805,Fish,train
6480,Fish,train
6617,Fish,train
979,Fish,train
8441,Fish,train
10189,Fish,train
1006,Fish,train
8861,Fish,train
10804,Fish,train
7976,Fish,train
2526,Fish,train
11464,Fish,train
3614,Fish,train
8676,Fish,train
11766,Fish,train
3585,Fish,train
6496,Fish,train
9380,Fish,train
1712,Fish,train
6116,Fish,train
10968,Fish,train
3899,Fish,train
3245,Fish,train
5532,Fish,train
11458,Fish,train
137,Fish,train
11487,Fish,train
8986,Fish,train
6733,Fish,train
6535,Fish,train
6023,Fish,train
6276,Fish,train
1614,Fish,train
9289,Fish,train
10623,Fish,train
7630,Fish,train
10034,Fish,train
9409,Fish,train
4772,Fish,train
8010,Fish,train
1278,Fish,train
6357,Fish,train
4252,Fish,train
1142,Fish,train
697,Fish,train
4225,Fish,train
11003,Fish,train
7383,Fish,train
3680,Fish,train
11093,Fish,train
8737,Fish,train
9221,Fish,train
9710,Fish,train
8035,Fish,train
10822,Fish,train
8296,Fish,train
2221,Fish,train
279,Fish,train
2323,Fish,train
11423,Fish,train
4957,Fish,train
1342,Fish,train
3487,Fish,train
9861,Fish,train
7856,Fish,train
9962,Fish,train
579,Fish,train
287,Fish,train
8833,Fish,train
656,Fish,train
9006,Fish,train
8563,Fish,train
6916,Fish,train
4013,Fish,train
10958,Fish,train
5393,Fish,train
10221,Fish,train
8757,Fish,train
10115,Fish,train
3699,Fish,train
2895,Fish,train
252,Fish,train
11229,Fish,train
1162,Fish,train
1969,Fish,train
2580,Fish,train
10776,Fish,train
4275,Fish,train
11202,Fish,train
8357,Fish,train
8256,Fish,train
11559,Fish,train
888,Fish,train
1499,Fish,train
6809,Fish,train
6525,Fish,train
4710,Fish,train
4822,Fish,train
3027,Fish,train
6656,Fish,train
6098,Fish,train
2733,Fish,train
5333,Fish,train
3634,Fish,train
10287,Fish,train
1174,Fish,train
9810,Fish,train
8156,Fish,train
7051,Fish,train
3522,Fish,train
4868,Fish,train
6012,Fish,train
7163,Fish,train
8179,Fish,train
4501,Fish,train
6467,Fish,train
205,Fish,train
1319,Fish,train
6016,Fish,train
5669,Fish,train
7110,Fish,train
4521,Fish,train
3146,Fish,train
1605,Fish,train
9626,Fish,train
9506,Fish,train
473,Fish,train
6477,Fish,train
9644,Fish,train
11334,Fish,train
9483,Fish,train
2489,Fish,train
5487,Fish,train
11330,Fish,train
7257,Fish,train
9656,Fish,train
6158,Fish,train
4756,Fish,train
9076,Fish,train
5010,Fish,train
8531,Fish,train
7036,Fish,train
4844,Fish,train
1897,Fish,train
9675,Fish,train
5491,Fish,train
9280,Fish,train
8612,Fish,train
9811,Fish,train
4507,Fish,train
930,Fish,train
213,Fish,train
3386,Fish,train
10200,Fish,train
1663,Fish,train
10898,Fish,train
11793,Fish,train
648,Fish,train
8148,Fish,train
2676,Fish,train
4341,Fish,train
5513,Fish,train
10674,Fish,train
3455,Fish,train
8007,Fish,train
6000,Fish,train
6755,Fish,train
740,Fish,train
6850,Fish,train
5861,Fish,train
10357,Fish,train
8101,Fish,train
5347,Fish,train
11345,Fish,train
3293,Fish,train
10660,Fish,train
9120,Fish,train
7483,Fish,train
8694,Fish,train
9821,Fish,train
2842,Fish,train
10407,Fish,train
10260,Fish,train
10548,Fish,train
2850,Fish,train
2277,Fish,train
7082,Fish,train
247,Fish,train
4120,Fish,train
1229,Fish,train
5108,Fish,train
11136,Fish,train
8856,Fish,train
7547,Fish,train
8408,Fish,train
6841,Fish,train
11107,Fish,train
6151,Fish,train
9642,Fish,train
3706,Fish,train
2239,Fish,train
5783,Fish,train
3513,Fish,train
10529,Fish,train
10090,Fish,train
3074,Fish,train
9570,Fish,train
198,Fish,train
2767,Fish,train
4384,Fish,train
3490,Fish,train
8672,Fish,train
11209,Fish,train
3694,Fish,train
1828,Fish,train
1790,Fish,train
0,Fish,train
9002,Fish,train
6683,Fish,train
5489,Fish,train
775,Fish,train
9486,Fish,train
5719,Fish,train
2217,Fish,train
2313,Fish,train
4009,Fish,train
1571,Fish,train
7280,Fish,train
4927,Fish,train
6047,Fish,train
6066,Fish,train
1447,Fish,train
3337,Fish,train
1894,Fish,train
4592,Fish,train
8920,Fish,train
5642,Fish,train
8884,Fish,train
1752,Fish,train
5453,Fish,train
6372,Fish,train
9977,Fish,train
11426,Fish,train
9580,Fish,train
7987,Fish,train
8927,Fish,train
7898,Fish,train
5923,Fish,train
10403,Fish,train
9297,Fish,train
2496,Fish,train
2068,Fish,train
6149,Fish,train
6940,Fish,train
6514,Fish,train
10996,Fish,train
10355,Fish,train
2695,Fish,train
145,Fish,train
5051,Fish,train
9633,Fish,train
4617,Fish,train
349,Fish,train
4112,Fish,train
304,Fish,train
4875,Fish,train
2392,Fish,train
10471,Fish,train
11001,Fish,train
5411,Fish,train
7749,Fish,train
5970,Fish,train
5801,Fish,train
5826,Fish,train
7797,Fish,train
2337,Fish,train
2200,Fish,train
5104,Fish,train
9682,Fish,train
2099,Fish,train
4873,Fish,train
9415,Fish,train
9037,Fish,train
962,Fish,train
4422,Fish,train
5384,Fish,train
6249,Fish,train
5956,Fish,train
5567,Fish,train
2002,Fish,train
9905,Fish,train
9725,Fish,train
3743,Fish,train
2266,Fish,train
9524,Fish,train
7144,Fish,train
1235,Fish,train
7365,Fish,train
4714,Fish,train
3801,Fish,train
2559,Fish,train
265,Fish,train
4702,Fish,train
10028,Fish,train
5524,Fish,train
2614,Fish,train
3160,Fish,train
7734,Fish,train
1520,Fish,train
4144,Fish,train
8754,Fish,train
8495,Fish,train
6992,Fish,train
10671,Fish,train
126,Fish,train
8710,Fish,train
8839,Fish,train
8667,Fish,train
69,Fish,train
2684,Fish,train
10214,Fish,train
7806,Fish,train
9138,Fish,train
7675,Fish,train
10322,Fish,train
4698,Fish,train
724,Fish,train
5091,Fish,train
9942,Fish,train
869,Fish,train
5319,Fish,train
11551,Fish,train
10175,Fish,train
1757,Fish,train
634,Fish,train
84,Fish,train
897,Fish,train
7567,Fish,train
8443,Fish,train
4382,Fish,train
2758,Fish,train
6191,Fish,train
10558,Fish,train
5787,Fish,train
1654,Fish,train
3889,Fish,train
4711,Fish,train
763,Fish,train
2295,Fish,train
6231,Fish,train
5774,Fish,train
4812,Fish,train
1715,Fish,train
11259,Fish,train
2754,Fish,train
8204,Fish,train
3116,Fish,train
1678,Fish,train
4073,Fish,train
9317,Fish,train
622,Fish,train
4974,Fish,train
7522,Fish,train
4853,Fish,train
11313,Fish,train
11196,Fish,train
9359,Fish,train
5913,Fish,train
4135,Fish,train
10359,Fish,train
5160,Fish,train
11563,Fish,train
11392,Fish,train
8136,Fish,train
5558,Fish,train
588,Fish,train
11157,Fish,train
8778,Fish,train
5739,Fish,train
708,Fish,train
4054,Fish,train
5993,Fish,train
7695,Fish,train
8460,Fish,train
8773,Fish,train
5946,Fish,train
1810,Fish,train
9489,Fish,train
9749,Fish,train
1253,Fish,train
7481,Fish,train
4535,Fish,train
607,Fish,train
6884,Fish,train
10104,Fish,train
4689,Fish,train
11803,Fish,train
8578,Fish,train
613,Fish,train
7573,Fish,train
10715,Fish,train
933,Fish,train
9066,Fish,train
7730,Fish,train
1209,Fish,train
9818,Fish,train
384,Fish,train
3266,Fish,train
10918,Fish,train
1296,Fish,train
11641,Fish,train
2456,Fish,train
1151,Fish,train
10614,Fish,train
7174,Fish,train
471,Fish,train
7375,Fish,train
4653,Fish,train
10191,Fish,train
4036,Fish,train
9338,Fish,train
9653,Fish,train
1586,Fish,train
10202,Fish,train
2272,Fish,train
174,Fish,train
1336,Fish,train
1933,Fish,train
5918,Fish,train
2474,Fish,train
4911,Fish,train
5188,Fish,train
5067,Fish,train
5681,Fish,train
2590,Fish,train
8172,Fish,train
6857,Fish,train
3632,Fish,train
4093,Fish,train
257,Fish,train
4290,Fish,train
6594,Fish,train
1429,Fish,train
10353,Fish,train
8930,Fish,train
6888,Fish,train
8819,Fish,train
5048,Fish,train
2716,Fish,train
6852,Fish,train
8030,Fish,train
8065,Fish,train
10658,Fish,train
8977,Fish,train
9512,Fish,train
3591,Fish,train
5277,Fish,train
8493,Fish,train
1991,Fish,train
6770,Fish,train
705,Fish,train
3201,Fish,train
8510,Fish,train
8295,Fish,train
1612,Fish,train
10600,Fish,train
11485,Fish,train
363,Fish,train
9855,Fish,train
9518,Fish,train
6483,Fish,train
11086,Fish,train
1848,Fish,train
1259,Fish,train
10597,Fish,train
1045,Fish,train
7073,Fish,train
5164,Fish,train
3350,Fish,train
1724,Fish,train
678,Fish,train
2672,Fish,train
10132,Fish,train
4732,Fish,train
1282,Fish,train
8355,Fish,train
1222,Fish,train
7359,Fish,train
2518,Fish,train
11079,Fish,train
11571,Fish,train
7096,Fish,train
9495,Fish,train
7577,Fish,train
3113,Fish,train
3127,Fish,train
2575,Fish,train
4214,Fish,train
3015,Fish,train
4250,Fish,train
4803,Fish,train
5771,Fish,train
4129,Fish,train
8528,Fish,train
6144,Fish,train
1838,Fish,train
11466,Fish,train
772,Fish,train
346,Fish,train
2566,Fish,train
5800,Fish,train
6521,Fish,train
6657,Fish,train
11204,Fish,train
6844,Fish,train
